"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Haliima N.; Rushingabigwi G.; Nzanywayingoma F.","Haliima, Namuddu (57681252300); Rushingabigwi, Gerard (57190984121); Nzanywayingoma, Frederic (55547910300)","57681252300; 57190984121; 55547910300","Design of an IoT Based Monitoring System for Expectant Rural Women in Developing Countries","2022","Proceedings of the 2nd 2022 International Conference on Computer Science and Software Engineering, CSASE 2022","","","","41","47","6","3","10.1109/CSASE51777.2022.9759594","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85129949744&doi=10.1109%2fCSASE51777.2022.9759594&partnerID=40&md5=be8fb1db7ced4894b69db170e21c1186","Maternal and child deaths due to pregnancy-related complications are still a huge concern and more prevalent in developing countries. Early detection of complications can help avoid many of the reported cases. Due to long distances to nearby health facilities, lack of knowledge, and poverty, the majority of expectant mothers in rural developing nations are still adamant about prioritizing their health during this very sensitive period. This study aimed at designing and prototyping a system intended to help improve maternal health in rural areas of developing nations. This can be achieved by providing a relatively easy way to monitor the health of expectant mothers remotely and provide vital information in the form of periodic tips with automatic alerts and tracking in case of missed clinical appointments. Therefore, an architecture for context awareness and an IoT-based system is proposed to improve pregnancy monitoring in Africa and thus reduce fatalities and complications. The system uses a pulse sensor, temperature sensor, and GPS module to collect data with an Arduino as the microcontroller. The collected data is sent to the cloud using the GSM module. The cloud data is stored, processed, analysed, and then sent to the health worker. In case of any health complication or an appointment is missed, the health officials are alerted in real-Time. This system will ensure a timely response in an emergency, thus leading to better health and contributing to sustainable development goals.  © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85129949744"
"Idemen B.T.; Sezer E.; Unalir M.O.","Idemen, Bengi Tugcu (57218312071); Sezer, Emine (56288701400); Unalir, Murat Osman (6506739590)","57218312071; 56288701400; 6506739590","LabHub: A New Generation Architecture Proposal for Intelligent Healthcare Medical Laboratories","2021","Advances in Intelligent Systems and Computing","1197 AISC","","","1284","1291","7","1","10.1007/978-3-030-51156-2_150","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85088752311&doi=10.1007%2f978-3-030-51156-2_150&partnerID=40&md5=cf47c8d218241f315e6c40ba734fcd80","With the development of technologies such as Internet of Things, Cloud Computing, Big Data and Machine Learning, created business models and information systems based on these business models have the need for restructuring. Medical Laboratories are environments where technical devices are located. New generation devices also have the IoT infrastructure. Thus, these devices support the transfer of device data to the relevant health information system through cloud computing. Monitoring the operating conditions, estimated maintenance periods and calibration settings for the specified devices on a common platform will increase the quality and reliability of the measurement results to be determined through the device. In this paper, a new generation LIS architecture, named LabHub, is proposed. With the platform which will be developed on LabHub architecture, traceability of the devices in all public and private sector, domestic and international medical laboratories will be provided with a cloud application that serves as a software principle. The data collected through the device will be stored in the cloud database with a scalable big data model in the cloud application by protecting the privacy of personal data and even free from personal data. Any violations that may occur in this data will be determined in a special way to the device and the operation performed on the device. Methods based on machine learning algorithms will be used to identify contradictory situations. Thus, the infrastructure for both the measurement of the desired quality of the devices and the reliable recording of the measurement results will be developed. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85088752311"
"Yaghy A.; Alberto N.R.I.; Alberto I.R.I.; Bermea R.S.; Ristovska L.; Yaghy M.; Hoyek S.; Patel N.A.; Celi L.A.","Yaghy, Antonio (57209218888); Alberto, Nicole Rose I. (57221512188); Alberto, Isabelle Rose I. (57373584400); Bermea, Rene S. (57191055086); Ristovska, Ljubica (57188958096); Yaghy, Maria (58645020900); Hoyek, Sandra (57209316710); Patel, Nimesh A. (57109727700); Celi, Leo Anthony (16033282700)","57209218888; 57221512188; 57373584400; 57191055086; 57188958096; 58645020900; 57209316710; 57109727700; 16033282700","The potential use of non-fungible tokens (NFTs) in healthcare and medical research","2023","PLOS Digital Health","2","7","e0000312","","","","11","10.1371/journal.pdig.0000312","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85168682027&doi=10.1371%2fjournal.pdig.0000312&partnerID=40&md5=7288e21431699f597a2ebf5dc39fc485","Non-fungible tokens (NFTs) are cryptographic assets recorded on the blockchain that can certify authenticity and ownership, and they can be used to monetize health data, optimize the process of receiving a hematopoietic stem cell transplant, and improve the distribution of solid organs for transplantation. Blockchain technology, including NFTs, provides equitable access to wealth, increases transparency, eliminates personal or institutional biases of intermediaries, reduces inefficiencies, and ensures accountability. Blockchain architecture is ideal for ensuring security and privacy while granting individuals jurisdiction over their own information, making it a unique solution to the current limitations of existing health information systems. NFTs can be used to give patients the option to monetize their health data and provide valuable data to researchers. Wearable technology companies can also give their customers the option to monetize their data while providing data necessary to improve their products. Additionally, the process of receiving a hematopoietic stem cell transplant and the distribution of solid organs for transplantation could benefit from the integration of NFTs into the allocation process. However, there are limitations to the technology, including high energy consumption and the need for regulatory guidance. Further research is necessary to fully understand the potential of NFTs in healthcare and how it can be integrated with existing health information technology. Overall, NFTs have the potential to revolutionize the healthcare sector, providing benefits such as improved access to health information and increased efficiency in the distribution of organs for transplantation. Copyright: © 2023 Yaghy et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168682027"
"Hanson J.; Hui M.; Strawbridge J.C.; Chatterjee S.; Goodyear K.; Giaconi J.A.; Tsui I.","Hanson, Justin (57205615464); Hui, Maggie (59403445700); Strawbridge, Jason C (57210124881); Chatterjee, Sayan (59403432800); Goodyear, Kendall (58043048100); Giaconi, JoAnn A (6602375782); Tsui, Irena (23006600700)","57205615464; 59403445700; 57210124881; 59403432800; 58043048100; 6602375782; 23006600700","High Rates of Eye Surgery Cancellation in Veterans Related to Mental Health","2024","Military Medicine","189","11-12","","e2588","e2593","5","0","10.1093/milmed/usae230","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85208602285&doi=10.1093%2fmilmed%2fusae230&partnerID=40&md5=c6e6b9f61ab39bd8dc4d9502d4f80ee9","Introduction: Approximately 9 million veterans receive health care at the Veterans Health Administration, many of whom have psychiatric illnesses. The military continues to have higher rates of psychiatric illness compared to the civilian population. Having a diagnosis such as posttraumatic stress disorder or depression may create challenges in using health care services, such as surgery. The aim of this study was to evaluate eye surgery cancellation, risk factors for cancellation, and areas for intervention within the VA. Materials and Methods: This was a single-center retrospective cohort study. The Veteran Health Information Systems and Technology Architecture were queried to identify all surgical requests at the West Los Angeles VA in 2019. Data collection included sociodemographic information and comorbid medical conditions, including psychiatric illness. Exploratory analyses using univariate logistic regression were used to evaluate factors associated with surgery cancellation. Results: A total of 1,115 surgical requests were identified with a cancellation rate of 23.7% (n = 270). Sociodemographic factors were similar between those with completed and cancelled surgery. However, having a psychiatric diagnosis correlated with surgery cancellation. For all subspecialties, patients with schizophrenia were more likely to have cancellation (odds ratio [OR], 2.53, P =. 04). For retina surgery, patients with posttraumatic stress disorder were more likely to have cancellation (OR, 4.23, P =. 01). Glaucoma patients with anxiety (OR, 5.78, P =. 05) and depression (OR, 4.05, P =. 04) were more likely to have cancellation. Conclusions: There was a significant amount of eye surgery cancellations in veterans with variation by subspecialty and comorbid conditions. Having a psychiatric illness was correlated with increased rates of surgery cancellation amongst veterans. Areas to improve surgical utilization include risk stratification and increased support of vulnerable patients before surgery.  © 2024 The Association of Military Surgeons of the United States. All rights reserved.","Article","Final","","Scopus","2-s2.0-85208602285"
"Cruz R.; Guimarães T.; Peixoto H.; Santos M.F.","Cruz, Ricardo (57191351308); Guimarães, Tiago (56028519600); Peixoto, Hugo (35422730400); Santos, Manuel Filipe (57203612534)","57191351308; 56028519600; 35422730400; 57203612534","Architecture for intensive care data processing and visualization in real-time","2021","Procedia Computer Science","184","","","923","928","5","5","10.1016/j.procs.2021.03.115","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85106759619&doi=10.1016%2fj.procs.2021.03.115&partnerID=40&md5=fa6245237b58fedcc09eeb97d8f03af8","Clinical data is growing every day. Ergo, to treat, store and publish such data is an emergent task. Furthermore, analysing data in real-time using streaming and processing technologies and methods, in order to obtain quality data, prepared to support decision making is of extreme value. Big Data emerged with the introduction of real-time processing, thus revolutionizing traditional technologies and techniques through the ability to deal with the volume, speed and variety of data. Countless studies have been proposed in the healthcare domain in search of solutions that allow the flow of data in real-time. However, the work presented hereby is distinguished by allowing the collection, processing, storage and analysis of Intensive Care Units (ICU) data, both collected in real-time from bedside monitors but also stored in a historical repository. The architecture proposed makes use of current technologies, like Nextgen Connector as message supplier and integrator, Elasticsearch as a search index, Kibana for viewing stored data and Grafana for real-time streaming. This article is part of the ICDS4IM project - Intelligent Clinical Decision Support in Intensive Care Medicine to support the experimentation of data processing techniques and technologies, based in HL7 format and collected in real-time so that it can be made available through Health Information Systems across the healthcare institutions. © 2021 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106759619"
"Chaves A.; Sousa R.; Machado J.; Abelha A.; Peixoto H.","Chaves, António (57224006850); Sousa, Regina (57216944143); Machado, José (57943272100); Abelha, António (6506287527); Peixoto, Hugo (35422730400)","57224006850; 57216944143; 57943272100; 6506287527; 35422730400","Collaborative Platform for Intelligent Monitoring of Diabetic Foot Patients - Colab4IMDF","2024","Lecture Notes in Networks and Systems","933 LNNS","","","195","204","9","0","10.1007/978-3-031-54256-5_18","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85187779099&doi=10.1007%2f978-3-031-54256-5_18&partnerID=40&md5=7cc7dae3a967fb508b0024598e23f8e6","This research work aims to set the basis for the development of a multidisciplinary platform designed to assist healthcare professionals, their institutions and more important, diabetic patients to manage diabetic foot syndrome complications. The system’s primary function is the automated classification of diabetic foot ulcers (DFU), with the ultimate goal of expediting treatment and improving patient well-being. Given the sporadic nature of diabetic patients’ medical consultations, the time gaps between appointments can exacerbate symptoms. To address this issue, the project advocates for sustained communication between physicians and patients, facilitated by the exchange of patient images, thereby reducing the need for frequent in-person visits. This manuscript shows project’s initial phase that involves the research and modelling of an architecture that ranges from mHealth to Deep Learning algorithm capable of rapidly and accurately classifying user-submitted images, offering clinical decision support and autonomous identification of potential DFU complications from the patient’s perspective. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Conference paper","Final","","Scopus","2-s2.0-85187779099"
"Dilnutt R.; Kurnia S.; Khoir S.; Fuad A.; Sanjay G.Y.; Adnan H.R.; Hidayanto A.N.","Dilnutt, Rod (7801605581); Kurnia, Sherah (6507704568); Khoir, Safirotu (56331211000); Fuad, Anis (55222282200); Sanjay, Guardian Y. (55536508300); Adnan, Hafizh Rafizal (57215533853); Hidayanto, Achmad Nizar (57205093001)","7801605581; 6507704568; 56331211000; 55222282200; 55536508300; 57215533853; 57205093001","How Enterprise Architecture Enhances the National Health Information System in Supporting the COVID-19 Response in Indonesia","2021","ACIS 2021 - Australasian Conference on Information Systems, Proceedings","","","","","","","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85174635755&partnerID=40&md5=f78ad01636245fd633beefb4c919567a","The COVID-19 pandemic has negative impacts on human well-being with significant consequences on social, economic, political, legal, and technological aspects of society. A key challenge in managing the pandemic particularly in developing countries is the lack of integrated health data. Previous research indicates that an Enterprise Architecture (EA)-driven national initiative has the potential to mitigate data integration issues. However, in-depth study of how EA initiatives provide a systematic solution to national health data integration in the context of COVID-19 data management is lacking. Using Indonesia as a study context, we conducted an in-depth case study to systematically explore factors affecting the current COVID-19 data integration issues and investigate how EA helps overcome the problems. In this research in progress paper, we present our initial research findings and outline our future research plans. When completed, our study contributes to IS research specifically in the EA domain and has important practical implications. Copyright © 2021 authors.","Conference paper","Final","","Scopus","2-s2.0-85174635755"
"Jyothi E.V.N.; Kranthi M.; Dankan Gowda V.; Tanguturi R.C.","Jyothi, E.V.N. (57204766203); Kranthi, M. (58138562800); Dankan Gowda, V. (57218466656); Tanguturi, Rama Chaithanya (55735650700)","57204766203; 58138562800; 57218466656; 55735650700","Design of Intelligent Medical Integrity Authentication and Secure Information for Public Cloud in Hospital Administration","2023","Proceedings of the 2nd International Conference on Edge Computing and Applications, ICECAA 2023","","","","256","261","5","35","10.1109/ICECAA58104.2023.10212391","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85170829559&doi=10.1109%2fICECAA58104.2023.10212391&partnerID=40&md5=c58c6bdbfbcde6a65094c2b837c5915b","Due to political and financial considerations, large hospitals are also less likely to share their patient information with outside healthcare providers. To get around the barriers that prevent an efficient process of exchanging medical data. The integrated computerized clinical information system is part of the Hospital Information System (HIS), which aims to improve hospital operations and clinical management. Furthermore, the patient has access to an accurate electronic medical record that has been stored. For research and statistical applications, such records can be utilized in a data warehouse. The architecture of a centralized information system, on which HIS was established intended for the rapid transmission of both operational and administrative information. It would be difficult and It requires a lot of money and resources to set up an independent information management system for a small village hospital. The hospital information system in use presently, information is only shared within the same hospital. The theory of cloud computing serves as the proposal's basis. The 'cloud' makes it possible for greater analysis, sharing, and exchange of medical data from images. Doctors may be able to get the data they need due to cloud-based medical image storage, patient will be able to get treatment across hospital departments automating the management of hospital information and computational resources. Hence, this system develops of intelligent medical integrity authentication and it is more effective for hospital administration to use secure information on public clouds, low-cost and time saving.  © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85170829559"
"Gamal A.; Barakat S.; Rezk A.","Gamal, Aya (57221384843); Barakat, Sherif (57200257666); Rezk, Amira (57218771407)","57221384843; 57200257666; 57218771407","Toward a universal electronic health record system","2021","Journal of Biomedical Informatics","117","","103770","","","","2","10.1016/j.jbi.2021.103770","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85105936230&doi=10.1016%2fj.jbi.2021.103770&partnerID=40&md5=e8a17489d548a3fffb1c09a16b3e871d","Health information exchange (HIE) has mostly emerged as centralized data hubs that can pass data requests from one subscribing healthcare institution to another. Using traditional health information systems (HISs) with different technologies in hospitals leads to usability and incompatibility issues because of islands of information. This paper discusses shifting from HIE into an integrated universal health information infrastructure. Migration to such integrated universal electronic health records architecture could support real-time HIE and advanced modern big data analytics. However, there are various standards and technologies to facilitate HIS integration, a significant amount of efforts is still needed. © 2021 Elsevier Inc.","Letter","Final","","Scopus","2-s2.0-85105936230"
"Edo O.C.; Ang D.; Billakota P.; Ho J.C.","Edo, Onome Christopher (57826076100); Ang, David (7006457280); Billakota, Praveen (58781546800); Ho, Johnny C. (7402650217)","57826076100; 7006457280; 58781546800; 7402650217","A zero trust architecture for health information systems","2024","Health and Technology","14","1","","189","199","10","9","10.1007/s12553-023-00809-4","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85180698808&doi=10.1007%2fs12553-023-00809-4&partnerID=40&md5=9741179bf1fd7a88a9395baf958e2069","Background: Advances in technology have birthed a new dimension to managing patient healthcare data from a brick-and-mortar principle to a digitized phase, while this new paradigm is appraised for its simplicity and efficiency, a critical subject of concern is system vulnerability, with the prevalence of insider attack and recurrent data breaches in the healthcare sector, a more nuanced approach is required to close the insider vulnerability incidences. Although several models have been proposed such as blockchain, biometrics, and firewalls, insider threats continue to gain momentum. Hence the adoption of the Zero Trust Model seeks to pacify these loopholes. Methods: Zero Trust model is founded on an access policy based on context and continuous user and device authentication and verification. To block lateral movement in system architecture, the ZTA proposes deduction engines as a panacea to patient data security. Results: Prior and current studies have suggested a more technical principle and philosophy in managing and securing patient data, the ZTA has been adopted in other domains and has remained an effective countermeasure in closing the data vulnerability gap. Our model is designed with a full-scale ZTA framework and as such combats the information security gaps. Conclusion: A new architecture for data security is proposed, and insight was drawn from the ZTA principle, with a combination of several technology tools, The adoption of this framework will help to mitigate the current lapses and provide a gateway to ZTA adoption. © 2023, The Author(s) under exclusive licence to International Union for Physical and Engineering Sciences in Medicine (IUPESM).","Article","Final","","Scopus","2-s2.0-85180698808"
"Tummers J.; Tobi H.; Catal C.; Tekinerdogan B.; Schalk B.; Leusink G.","Tummers, J. (57205271362); Tobi, H. (7003700906); Catal, C. (22633325800); Tekinerdogan, B. (15761578600); Schalk, B. (9246688600); Leusink, G. (57190407120)","57205271362; 7003700906; 22633325800; 15761578600; 9246688600; 57190407120","A health information systems architecture study in intellectual disability care: Commonalities and variabilities","2024","Healthcare Analytics","5","","100295","","","","2","10.1016/j.health.2023.100295","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85181524064&doi=10.1016%2fj.health.2023.100295&partnerID=40&md5=556bcb4fb27343ea84a7be9f0af9014b","Care providers in intellectual disability care use various health information systems (HIS) to document the care they provide. This generates a substantial amount of structured and unstructured data with significant potential for reuse, which is currently underexploited. To enhance data reuse, it is important to understand the architecture of health information systems in intellectual disability care, including their commonalities and variabilities (diﬀerences), as well as to identify related privacy and security issues. Our study adopts a multiple-case study approach, examining the architectures of four health information systems in the Netherlands. We conducted interviews with seven stakeholders from four HISs and reviewed multiple documents concerning system infrastructure. We identified commonalities and differences between these systems and outlined the primary challenges regarding privacy and security for data reuse. For each HIS, four architectural views were developed: a context diagram, decomposition view, layered view, and deployment view. The study discusses crucial security and privacy aspects for data reuse in intellectual disability care and highlights several challenges that must be addressed to unlock the full potential of this data. This research provides initial guidelines for overcoming these challenges. © 2023 The Authors","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181524064"
